gene	fpkm
TSPAN6	0.300340479
DPM1	4.359429804
SCYL3	2.421072456
C1orf112	1.457321118
FGR	8.001289959
CFH	1.841280781
FUCA2	3.92716639
GCLC	4.135731856
NFYA	4.375004667
STPG1	0.95519152
NIPAL3	3.788100998
LAS1L	3.562205784
ENPP4	2.627123524
ANKIB1	4.939203066
CYP51A1	3.585863903
KRIT1	5.17818877
RAD52	2.664105051
BAD	3.3377168
LAP3	5.940192597
CD99	0.285649601
AOC1	0.257573099
WNT16	0.143746049
MAD1L1	4.92825187
LASP1	6.17688123
SNX11	4.243067325
TMEM176A	5.069405727
M6PR	6.77691988
KLHL13	0.363113873
ICA1	2.040057775
DBNDD1	0.408598832
ALS2	2.317767139
CASP10	4.625627027
CFLAR	7.438359395
TFPI	3.099684023
NDUFAF7	3.434633565
RBM5	6.864743301
ARF5	6.201490761
SARM1	2.633094038
POLDIP2	3.598901114
PLXND1	5.233193995
AK2	5.476524265
CD38	2.280044694
FKBP4	4.403894845
KDM1A	4.217331546
RBM6	6.303848316
CAMKK1	1.821167317
RECQL	4.666171443
CCDC132	3.939283005
ARHGAP33	1.346156982
NDUFAB1	4.251105533
PDK4	4.436008551
SLC22A16	2.978980843
ZMYND10	0.575743138
SLC25A13	4.898169648
ST7	2.430309362
CDC27	4.606910021
SLC4A1	0.207458104
HCCS	3.286894451
DVL2	3.142096435
UPF1	4.519648832
SKAP2	6.549291815
SLC25A5	6.481884982
CCDC109B	5.411412686
POLR2J	3.109521036
DHX33	2.439280041
MEOX1	0.602744763
LIG3	3.880969531
RPAP3	4.182954437
ACSM3	1.739770351
AC004381.6	0.748969522
CIAPIN1	3.960910138
FAM214B	4.123351669
PRKAR2B	5.838092044
MSL3	6.086350689
CREBBP	6.543030273
BZRAP1	3.415217825
MPO	1.748675904
GCFC2	3.207536818
WDR54	2.18976764
CROT	2.601587181
ABCB4	1.788589667
KMT2E	6.404015807
RHBDD2	3.494658813
SOX8	0.250491106
IBTK	4.104554725
ZNF195	4.105937833
MYCBP2	6.241394038
FBXL3	4.526431944
ITGAL	7.492966748
PDK2	3.007346223
ITGA3	1.060503992
ZFX	4.55083296
LAMP2	5.869632088
GGNBP2	6.139762114
ITGA2B	4.823453863
GDE1	4.43432131
C19orf60	4.616534141
OSBPL7	3.660403855
YBX2	0.158016393
CCL3	4.534665505
SYNRG	5.22109599
AP2B1	5.327478992
ZNF263	4.178499535
SPATA20	3.866047444
TNFRSF12A	3.091230988
MAP3K9	0.835578918
RALA	3.928427177
KDM7A	5.204242466
AGK	3.925239905
ALDH3B1	4.27482819
TTC22	1.756767124
PHTF2	4.225529446
FARP2	3.261541346
GGCT	3.165357259
DBF4	3.355556187
TBXA2R	1.385188037
IFRD1	4.857105163
LGALS14	0.858567506
COX10	3.158766798
GTF2IRD1	0.38010991
PAF1	4.476705707
VPS41	5.885081343
ELAC2	4.77865015
SCIN	0.574120889
ARSD	3.179698939
PNPLA4	1.384464315
ADIPOR2	4.426244624
CDKL3	0.148111518
PRSS21	0.944114048
MARK4	4.363717768
CCDC124	3.895147484
CEACAM21	2.64527741
PAFAH1B1	6.59640894
KIAA0100	6.134073048
GAS7	6.443903315
TRAPPC6A	3.34568165
MATK	3.84865799
CD79B	4.66654642
ST7L	3.405932473
TKTL1	2.014373148
RPUSD1	3.138095235
RHBDF1	0.585066371
LUC7L	5.534755757
CACNA2D2	1.464898244
BAIAP3	2.451308717
TSR3	3.697796056
PIGQ	3.148854404
CRAMP1L	3.012688446
DNAJC11	3.709886121
MYLIP	4.730292146
E2F2	2.294403134
PSMB1	5.857339102
SYN1	0.272918995
JARID2	4.81888123
CDKL5	1.744316123
CDK11A	4.602652846
NADK	6.081243746
DLEC1	2.210342104
CYTH3	2.634621146
ADAM22	1.605859347
SYPL1	4.837277229
CYB561	2.638982044
SPAG9	5.776204026
CELSR3	1.793150939
AASS	1.000540909
SS18L2	4.093357346
MPND	3.048890064
MGST1	4.661504494
CRY1	2.806491107
PGLYRP1	0.519654619
NFIX	1.482956675
ST3GAL1	5.656158825
MMP25	3.585515428
IL32	7.464562086
PKD1	3.696494662
MAPK8IP2	0.156106625
MED24	4.550420507
RHOBTB2	2.224716379
HEATR5B	4.686847853
SEC62	5.981827543
RPS20	9.656625075
CSDE1	7.699343408
UBE3C	5.624244221
REV3L	3.959185912
TENM1	1.168513676
FAM76A	2.781147753
TRAF3IP3	6.867130447
POMT2	2.180004603
VTA1	3.889512481
MLXIPL	0.387757353
BAZ1B	4.504855526
RANBP9	4.644335085
ETV7	0.39579877
SPRTN	3.342948645
METTL13	3.076234127
DYRK4	3.335749063
ZNF207	7.173797044
UQCRC1	5.581878452
STARD3NL	4.045792419
CD9	4.558071669
NCAPD2	3.936129078
IFFO1	4.288779348
GIPR	2.368670583
PHF7	2.991832913
SEMA3G	0.392620769
NISCH	5.230126141
STAB1	6.385586343
FUZ	2.718313398
SLC6A13	0.225419316
IDS	6.002967995
ZNF200	1.79762729
CD4	6.204925172
LRRC23	2.378267454
BTK	5.597742706
HFE	3.771737711
SCMH1	2.651442099
FYN	8.074896071
HIVEP2	3.882995122
TCEB3	3.985782748
LYPLA2	3.829616194
CLCN6	3.706585806
MRC2	0.563666768
NME2	1.069715913
TSPAN9	1.747206917
BTBD7	3.944858446
