group	A	A	B	B	C	C	D	D
sample	up1	dn2	up2	dn2	up3	dn3	up4	dn4
gene1	16.83363134	18.06865759	17.01893908	14.74464992	16.98131085	16.91107594	16.1880846	17.64924214
gene2	17.17145048	17.24223442	17.3111363	17.04925297	16.97876631	16.54419019	16.58981936	17.32057141
gene3	18.36303535	16.54680857	16.44362996	16.63888838	17.03115195	15.50921521	16.61630474	16.51257227
gene4	14.99213288	17.3264646	16.87843415	14.50281316	16.92702559	17.21151761	15.49064408	16.9813889
gene5	15.15287898	17.12072388	16.6840363	13.97365253	16.8808988	17.25540668	15.38504	17.13087217
gene6	16.48523813	16.20179656	16.32642071	16.01544119	15.82659317	15.27320552	16.17019501	16.1382598
gene7	16.67322625	15.5872003	15.58351474	16.05682608	16.2104069	15.0218215	16.13141288	15.96180463
gene8	17.06699312	16.3115337	16.13521227	14.83370545	16.51641411	15.65223999	15.59002558	15.92428132
gene9	13.92255653	16.83355723	15.85800529	13.38485119	16.19089915	16.27529884	14.80185989	16.29539229
gene10	12.08570149	13.6712978	15.59923293	12.34277195	14.65550277	13.43544889	13.5016133	16.12283002
gene11	15.16584522	16.02302875	15.34005523	12.16075699	14.53446096	14.68781853	13.76142657	15.49763669
gene12	13.79842117	14.83934159	15.57315307	12.66669447	15.32349814	15.58466602	14.74399286	16.09620452
gene13	13.11215276	10.95467616	14.32550925	14.97103155	14.59738917	13.44974191	14.9971486	12.98877166
gene14	13.2782026	13.17009875	15.12467466	12.74214941	15.10598624	15.05038436	13.48150935	14.64010934
gene15	15.29501195	14.6475034	14.2635553	14.21488067	15.08404433	14.09466329	13.75200424	14.47624624
gene16	13.09608754	13.48178682	14.56630382	12.72944868	14.86436995	14.28208935	12.76926966	15.11665261
gene17	12.98298645	14.35841082	13.55900657	11.14446069	13.53743683	13.5212569	12.69502162	13.81423196
gene18	10.61839468	12.11248838	12.30610442	13.436191	11.87890539	13.17894801	11.5223167	12.03528368
gene19	15.18867383	12.85828412	12.46607391	13.19925518	12.55526256	12.71422834	12.7711304	13.5785496
gene20	9.364631522	12.20161855	11.04784644	11.58918297	10.90660503	11.85447494	10.32664295	11.40650797
gene21	13.50168793	13.16976532	12.9834586	13.64372093	12.84422714	12.44607009	13.19342526	13.35636943
gene22	11.31768959	12.21359638	13.95690246	12.02279778	13.77708062	12.6033783	12.63874135	12.88395868
gene23	10.57458407	9.951845654	13.78709653	11.37125391	12.26463905	13.8677131	12.10782842	13.33834641
gene24	12.6418034	14.11274085	12.70104433	0	13.09690454	12.86396941	9.709245827	12.77730669
gene25	12.42084185	10.42134955	13.22638961	12.44200782	12.75115697	13.0481207	11.93159442	14.09223684
gene26	0	11.41236872	13.72024426	9.797345395	12.49130447	14.16651618	13.32330814	13.16950697
gene27	13.06382479	12.00829905	12.22764001	12.37782327	12.7536388	12.87408034	12.04053974	11.70331963
gene28	13.58940537	13.71035444	12.68903483	13.40170619	13.08685772	11.18870628	11.58907058	12.32261547
gene29	13.02209728	1.16E-07	12.22295788	14.46275787	12.14711587	13.48533877	13.51716495	13.05668343
gene30	10.89973454	12.00549122	11.64077365	10.89087224	10.85281037	11.86100934	11.29700222	11.91169158
gene31	0	0	12.839379	10.91293423	11.535567	13.51597081	11.02479338	10.07112712
gene32	12.8793018	11.48151692	12.24804022	13.95880643	11.95991502	11.42197013	11.77508759	11.91717066
