date	pm25
2019-1-1	5.2
2019-1-2	10.4
2019-1-3	10.4
2019-1-4	10.4
2019-1-5	10.4
2019-1-6	113.568
2019-1-7	113.568
2019-1-8	113.568
2019-1-9	113.568
2019-1-10	113.568
2019-1-11	113.568
2019-1-12	113.568
2019-1-13	113.568
2019-1-14	113.568
2019-1-15	10.4
2019-1-16	15.6
2019-1-17	10.4
2019-1-18	10.4
2019-1-19	20.8
2019-1-20	10.4
2019-1-21	10.4
2019-1-22	10.4
2019-1-23	10.4
2019-1-24	26
2019-1-25	10.4
2019-1-26	10.4
2019-1-27	10.4
2019-1-28	31.2
2019-1-29	10.4
2019-1-30	10.4
2019-1-31	10.4
2019-2-1	10.4
2019-2-2	10.4
2019-2-3	10.4
2019-2-4	10.4
2019-2-5	10.4
2019-2-6	36.4
2019-2-7	10.4
2019-2-8	10.4
2019-2-9	10.4
2019-2-10	10.4
2019-2-11	10.4
2019-2-12	36.4
2019-2-13	10.4
2019-2-14	10.4
2019-2-15	10.4
2019-2-16	10.4
2019-2-17	10.4
2019-2-18	10.4
2019-2-19	10.4
2019-2-20	10.4
2019-2-21	10.4
2019-2-22	10.4
2019-2-23	10.4
2019-2-24	10.4
2019-2-25	10.4
2019-2-26	10.4
2019-2-27	36.4
2019-2-28	10.4
2019-3-1	10.4
2019-3-2	10.4
2019-3-3	41.6
2019-3-4	10.4
2019-3-5	10.4
2019-3-6	10.4
2019-3-7	10.4
2019-3-8	10.4
2019-3-9	10.4
2019-3-10	10.4
2019-3-11	10.4
2019-3-12	10.4
2019-3-13	10.4
2019-3-14	41.6
2019-3-15	10.4
2019-3-16	10.4
2019-3-17	10.4
2019-3-18	10.4
2019-3-19	20.8
2019-3-20	10.4
2019-3-21	10.4
2019-3-22	10.4
2019-3-23	10.4
2019-3-24	10.4
2019-3-25	10.4
2019-3-26	10.4
2019-3-27	10.4
2019-3-28	10.4
2019-3-29	10.4
2019-3-30	10.4
2019-3-31	10.4
2019-4-1	10.4
2019-4-2	10.4
2019-4-3	10.4
2019-4-4	10.4
2019-4-5	10.4
2019-4-6	10.4
2019-4-7	10.4
2019-4-8	15.6
2019-4-9	10.4
2019-4-10	10.4
2019-4-11	10.4
2019-4-12	10.4
2019-4-13	10.4
2019-4-14	10.4
