sample	Species.1	Species.2	Species.3	Species.4	Species.5	Species.6	Species.7	Species.8	Species.9	Species.10
Sample.1	0.140328349995414	0.0767678620563148	0.122259928460057	0.0871319820232963	0.0641107951939833	0.0977712556177199	0.0826378061084105	0.0221957259469871	0.134366688067504	0.172429606530313
Sample.2	0.0843471208434712	0.116281427412814	0.144059205190592	0.129764801297648	0.0650851581508516	0.0563665855636659	0.0686334144363341	0.0964111922141119	0.0994525547445256	0.139598540145985
Sample.3	0.099972048821392	0.0264604490822696	0.11571787943725	0.100065219416752	0.075002329264884	0.162769030094102	0.104537407994037	0.0279511786080313	0.150377340911208	0.137147116370074
Sample.4	0.107537507860929	0.102236995777558	0.0344982481358369	0.127661485940167	0.143742700565987	0.138981223609739	0.123259365735334	0.0335100170694457	0.0850777108974935	0.103494744407511
Sample.5	0.229143214509068	0.00825515947467167	0.133833646028768	0.0884302689180738	0.0471544715447154	0.034021263289556	0.0650406504065041	0.158223889931207	0.149343339587242	0.0865540963101939
Sample.6	0.0781663516068053	0.0642722117202268	0.0599243856332703	0.160775047258979	0.0440453686200378	0.194990548204159	0.099054820415879	0.12703213610586	0.0896030245746692	0.0821361058601134
Sample.7	0.0857929610188452	0.0417347904655365	0.108940710782205	0.0992169348593064	0.07976938301351	0.128044058170553	0.0999913948885638	0.152826779106789	0.0859650632475691	0.117717924447122
Sample.8	0.127427028417127	0.141828468561142	0.0331747460460332	0.0628777163430629	0.0345891732030346	0.204320432043204	0.117268869744117	0.0282885431400283	0.178217821782178	0.072007200720072
Sample.9	0.0940937733632383	0.127096016234113	0.0734807219908149	0.035672327245541	0.0671793228666026	0.136601516607925	0.102531239987184	0.0807433514899071	0.0997543522375307	0.182847377977144
Sample.10	0.160220029686545	0.0948223172967781	0.0872260543089147	0.13882825460578	0.118746180040164	0.12704094996944	0.0799790447917576	0.0771850170261067	0.0777962105998428	0.0381559416746704
Sample.11	0.11663321921851	0.12170936135049	0.16243654822335	0.0514697202219337	0.138118285916657	0.0155825758470074	0.0669342462519183	0.00873568645968599	0.152284263959391	0.166096092551057
Sample.12	0.0691315945465323	0.0483847065797273	0.110773562537048	0.136781268524007	0.0958802608180202	0.045643153526971	0.125815056312982	0.11314463544754	0.128852993479549	0.125592768227623
Sample.13	0.108017377567141	0.0440363349131122	0.0406793048973144	0.141982622432859	0.0367298578199052	0.170813586097946	0.0902448657187994	0.141390205371248	0.178515007898894	0.0475908372827804
Sample.14	0.120121804631781	0.109864572481769	0.136068595240003	0.0859844538825226	0.0873467425274461	0.0689959131340652	0.103533937014184	0.128135267248978	0.0677137591153137	0.0922349547239362
Sample.15	0.0523237919359803	0.10803324099723	0.224068944290551	0.176208064019698	0.0212373037857802	0.0777162203755001	0.108341028008618	0.104801477377655	0.113111726685134	0.0141582025238535
Sample.16	0.0817156904297703	0.0601847927439179	0.0662032720183097	0.136644909722811	0.158599643977282	0.0805289480376367	0.117402729507502	0.0489107400186488	0.134610494193439	0.115198779350682
Sample.17	0.0148032723022984	0.147058823529412	0.12183482664589	0.148714452668485	0.051227113361901	0.114043630697312	0.0762563303467082	0.14150759641605	0.0334047526295286	0.151149201402415
Sample.18	0.0308872514383769	0.0706571111335419	0.0901382860603614	0.0244271727061674	0.165034823861916	0.114060765115575	0.131119410517816	0.134147572423539	0.0731805793883113	0.166347027354396
Sample.19	0.0353169888756885	0.104870936386219	0.130251647046117	0.0988227670374771	0.115131223674263	0.0491413759585268	0.144076034128956	0.128307592612593	0.122259423263851	0.0718220110163085
Sample.20	0.103404390709513	0.0343620744511613	0.117615865945487	0.037543748011454	0.153568777176795	0.155265669742284	0.0497401633259094	0.134584791600382	0.116131084950684	0.0977834340863294
